course,geoLevel,geoName,sex,stage,value,sourceId
2024-2025,country,España,total,E. Infantil - Segundo ciclo,1078630,educabase-general-1-01-2024-2025
2024-2025,country,España,total,E. Primaria,2707871,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Educación Especial,45382,educabase-general-1-01-2024-2025
2024-2025,country,España,total,ESO,2089477,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Bachillerato (1),680687,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Bachillerato a distancia,23737,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Ciclos Formativos de FP Grado Básico,84557,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Ciclos Formativos de FP Grado Medio (1),407906,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Ciclos Formativos de FP Grado Medio a distancia,62381,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Curso de Especialización para titulados de GM presencial,812,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Ciclos Formativos de FP Grado Superior (1),465509,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Ciclos Formativos de FP Grado Superior a distancia,160919,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Curso de Especialización para titulados de GS presencial,6886,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Curso de Especialización para titulados de GS a distancia,406,educabase-general-1-01-2024-2025
2024-2025,country,España,total,Otros programas formativos,15398,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,TOTAL,4281761,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,E. Infantil - Primer ciclo,253153,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,E. Infantil - Segundo ciclo,554637,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,E. Primaria,1394379,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Educación Especial,30386,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,ESO,1077717,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Bachillerato (1),313527,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Bachillerato a distancia,11672,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Ciclos Formativos de FP Grado Básico,58959,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Ciclos Formativos de FP Grado Medio (1),234537,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Ciclos Formativos de FP Grado Medio a distancia,20848,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Curso de Especialización para titulados de GM presencial,600,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Ciclos Formativos de FP Grado Superior (1),254492,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Ciclos Formativos de FP Grado Superior a distancia,60337,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Curso de Especialización para titulados de GS presencial,5734,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Curso de Especialización para titulados de GS a distancia,349,educabase-general-1-01-2024-2025
2024-2025,country,España,hombre,Otros programas formativos,10434,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,TOTAL,4037268,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,E. Infantil - Primer ciclo,235318,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,E. Infantil - Segundo ciclo,523993,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,E. Primaria,1313492,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Educación Especial,14996,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,ESO,1011760,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Bachillerato (1),367160,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Bachillerato a distancia,12065,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Ciclos Formativos de FP Grado Básico,25598,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Ciclos Formativos de FP Grado Medio (1),173369,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Ciclos Formativos de FP Grado Medio a distancia,41533,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Curso de Especialización para titulados de GM presencial,212,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Ciclos Formativos de FP Grado Superior (1),211017,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Ciclos Formativos de FP Grado Superior a distancia,100582,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Curso de Especialización para titulados de GS presencial,1152,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Curso de Especialización para titulados de GS a distancia,57,educabase-general-1-01-2024-2025
2024-2025,country,España,mujer,Otros programas formativos,4964,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,TOTAL,1580526,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,E. Infantil - Primer ciclo,106294,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,E. Infantil - Segundo ciclo,207794,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,E. Primaria,509952,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Educación Especial,10303,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,ESO,400520,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Bachillerato (1),129107,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Bachillerato a distancia,8098,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Ciclos Formativos de FP Grado Básico,14905,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Ciclos Formativos de FP Grado Medio (1),77938,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Ciclos Formativos de FP Grado Medio a distancia,4027,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Curso de Especialización para titulados de GM presencial,167,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Ciclos Formativos de FP Grado Superior (1),88863,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Ciclos Formativos de FP Grado Superior a distancia,20483,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Curso de Especialización para titulados de GS presencial,1342,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Curso de Especialización para titulados de GS a distancia,140,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,total,Otros programas formativos,593,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,TOTAL,813419,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,E. Infantil - Primer ciclo,55002,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,E. Infantil - Segundo ciclo,106580,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,E. Primaria,262171,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Educación Especial,7035,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,ESO,205899,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Bachillerato (1),60071,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Bachillerato a distancia,4186,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Ciclos Formativos de FP Grado Básico,10680,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Ciclos Formativos de FP Grado Medio (1),43423,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Ciclos Formativos de FP Grado Medio a distancia,1466,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Curso de Especialización para titulados de GM presencial,129,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Ciclos Formativos de FP Grado Superior (1),46356,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Ciclos Formativos de FP Grado Superior a distancia,8816,educabase-general-1-01-2024-2025
